id,age,male,female,pcomp_1,appear_1,motiv_1,pworth_1,gworth_1,parent_1,teach_1,mate_1,friend_1,affect_1,auton_1,pc1_1,pc2_1,pc3_1,pc4_1,mot1_1,mot2_1,mot3_1,mot4_1,mot5_1,psw1_1,psw2_1,psw3_1,psw4_1,ts1_1,ts2_1,ts3_1,ts4_1,ts5_1,enj1_1,enj2_1,enj3_1
1109,13.7,1,0,3,3,2.2,3,3,3.2,2.8,3,3,2.67,3,3,3,3,3,3,2,2,1,3,3,3,3,3,3,3,3,2,3,3,3,2
1110,15.4,1,0,3,3,1.8,3,3,2.6,2.2,3,3,3,2.4,4,3,2,3,4,2,1,1,1,3,3,3,3,2,3,2,1,3,4,3,2
1111,14.5,0,1,1.75,2.5,2.6,3,2.75,2.8,2.8,2.8,3,2,2.8,2,2,2,1,3,2,2,3,3,3,3,3,3,3,3,3,2,3,2,2,2
1112,14.4,0,1,3.75,4,2.8,4,4,4,3.6,3.2,3.2,3.67,3.4,4,4,3,4,4,1,3,3,3,4,4,4,4,4,4,3,4,3,4,4,3
1113,13.6,0,1,1.75,3,2.8,2,2.75,3.8,3.6,2.8,3.2,3,2.8,2,1,2,2,3,2,3,3,3,2,2,2,2,4,4,3,4,3,3,3,3
1114,13.8,1,0,3,3.25,4,3,4,4,4,4,4,3.33,4,3,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,3,3
1115,14.2,0,1,1.5,3,2.6,3.6,4,3.6,3.6,3,3.6,3,3.6,2,2,1,1,3,1,3,3,3,4,3,4,3,4,4,3,3,4,3,3,3
1116,13.7,1,0,3,2.5,3,2.8,3,2.8,3.8,3.4,3.8,2.67,2.8,3,3,3,3,4,2,4,4,1,3,3,2,3,4,4,4,4,3,3,2,3
1118,14.8,1,0,2,3,3.4,3.2,3.75,3.4,4,4,4,2.33,2.8,1,2,2,3,4,2,4,3,4,3,2,3,4,4,4,4,4,4,3,2,2
1119,15.1,0,1,1.25,2.75,2.6,3,3.25,4,3.8,3.4,4,1.33,3,1,1,1,2,3,1,3,3,3,4,2,3,3,4,4,3,4,4,2,1,1
1120,13.9,1,0,4,2.5,3.6,3.4,4,4,2.2,4,4,4,3.4,4,4,4,4,4,2,4,4,4,4,1,4,4,1,3,2,2,3,4,4,4
1121,14.2,0,1,1.75,1.5,2.2,2,1.5,3.2,2.8,3.4,3.2,1.67,3.8,1,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,2,3,2,1,2
1122,14.1,1,0,3.75,3.75,2.2,3.8,4,2.4,2.8,3.8,3,4,2.6,4,4,4,3,4,1,1,1,4,3,4,4,4,3,2,4,1,4,4,4,4
1123,13.9,1,0,3.5,3.75,2.4,3.4,3.5,4,4,2.6,3.8,3.67,2.8,4,2,4,4,3,2,2,2,3,4,3,4,2,4,4,4,4,4,4,3,4
1124,13.9,0,1,3.5,3,3.8,3.6,3.5,3.8,3,3.2,4,3.33,3,4,3,3,4,4,4,4,3,4,3,4,4,3,3,3,3,3,3,4,3,3
