sex,age,height,weight,team,year,season,sport,medaled
0,24,187,76,Spain,2016,Summer,Swimming,FALSE
1,25,174,70,Australia,2016,Summer,Rowing,FALSE
1,23,165,55,Argentina,2016,Summer,Hockey,FALSE
1,33,179,90,Spain,2016,Summer,Handball,FALSE
0,27,165,66,Russia,2016,Summer,Wrestling,FALSE
0,26,175,70,Moldova,2016,Summer,Tennis,FALSE
0,34,180,71,Brazil,2016,Summer,Sailing,FALSE
0,25,172,85,Brazil,2016,Summer,Rugby Sevens,FALSE
1,22,169,47,Mauritius,2016,Summer,Athletics,FALSE
1,24,183,75,Australia,2016,Summer,Rowing,FALSE
0,29,188,71,Great Britain,2016,Summer,Rowing,FALSE
0,31,184,75,Spain,2016,Summer,Hockey,FALSE
1,30,171,58,New Zealand,2016,Summer,Sailing,TRUE
0,30,180,81,Puerto Rico,2016,Summer,Athletics,FALSE
0,26,189,93,Azerbaijan,2016,Summer,Rowing,FALSE
0,24,182,81,Bulgaria,2016,Summer,Wrestling,FALSE
0,24,190,98,Armenia,2016,Summer,Wrestling,TRUE
0,26,180,150,Armenia,2016,Summer,Weightlifting,FALSE
1,28,169,60,Azerbaijan,2016,Summer,Boxing,FALSE
0,38,186,93,Kazakhstan,2016,Summer,Canoeing,FALSE
0,30,193,96,Serbia,2016,Summer,Water Polo,TRUE
1,19,171,52,Ethiopia,2016,Summer,Athletics,FALSE
1,30,178,65,Saint Vincent and the Grenadines,2016,Summer,Athletics,FALSE
1,34,177,68,Brazil,2016,Summer,Handball,FALSE
1,18,170,48,Austria,2016,Summer,Synchronized Swimming,FALSE
1,18,171,50,Austria,2016,Summer,Synchronized Swimming,FALSE
1,25,180,60,Greece,2016,Summer,Athletics,FALSE
0,26,191,105,Romania,2016,Summer,Wrestling,FALSE
0,21,207,90,Niger,2016,Summer,Taekwondo,TRUE
1,29,165,59,Costa Rica,2016,Summer,Beach Volleyball,FALSE
1,44,162,50,Sweden,2016,Summer,Equestrianism,FALSE
1,44,162,50,Sweden,2016,Summer,Equestrianism,FALSE
1,41,163,56,Sweden,2016,Summer,Equestrianism,FALSE
1,41,163,56,Sweden,2016,Summer,Equestrianism,FALSE
0,22,173,75,Sudan,2016,Summer,Athletics,FALSE
0,32,185,84,Madagascar,2016,Summer,Athletics,FALSE
1,31,176,75,Cameroon,2016,Summer,Wrestling,FALSE
0,26,NA,NA,Pakistan,2016,Summer,Athletics,FALSE
0,20,173,52,Great Britain,2016,Summer,Boxing,FALSE
1,27,170,65,United States,2016,Summer,Athletics,TRUE
0,22,185,71,Iraq,2016,Summer,Football,FALSE
0,21,180,75,Iraq,2016,Summer,Football,FALSE
1,28,160,44,Chad,2016,Summer,Athletics,FALSE
0,37,186,130,Bosnia and Herzegovina,2016,Summer,Athletics,FALSE
0,23,182,75,Kazakhstan,2016,Summer,Boxing,FALSE
1,27,162,60,Brazil,2016,Summer,Football,FALSE
0,40,175,80,Russia,2016,Summer,Shooting,FALSE
0,30,203,106,Brazil,2016,Summer,Beach Volleyball,TRUE
0,18,170,63,Kazakhstan,2016,Summer,Trampolining,FALSE
1,18,185,57,Iran,2016,Summer,Taekwondo,TRUE
0,26,183,76,South Africa,2016,Summer,Athletics,FALSE
1,23,180,60,Philippines,2016,Summer,Swimming,FALSE
1,14,175,60,Azerbaijan,2016,Summer,Swimming,FALSE
1,31,170,65,Great Britain,2016,Summer,Rugby Sevens,FALSE
1,18,168,57,Cayman Islands,2016,Summer,Sailing,FALSE
1,19,NA,NA,Syria,2016,Summer,Table Tennis,FALSE
0,21,185,84,United States,2016,Summer,Athletics,FALSE
0,20,178,NA,Jamaica,2016,Summer,Athletics,TRUE
0,23,183,130,Austria,2016,Summer,Judo,FALSE
1,26,178,72,Australia,2016,Summer,Football,FALSE
0,21,182,77,Estonia,2016,Summer,Swimming,FALSE
1,26,169,54,Great Britain,2016,Summer,Synchronized Swimming,FALSE
0,23,171,60,Seychelles,2016,Summer,Boxing,FALSE
1,27,184,80,Sweden,2016,Summer,Handball,FALSE
0,31,165,55,Ecuador,2016,Summer,Athletics,FALSE
1,24,165,53,Cuba,2016,Summer,Athletics,FALSE
0,19,186,73,Brazil,2016,Summer,Swimming,FALSE
0,19,186,73,Brazil,2016,Summer,Swimming,FALSE
0,27,188,98,Brazil,2016,Summer,Handball,FALSE
0,46,180,90,Brazil,2016,Summer,Shooting,FALSE
0,46,180,90,Brazil,2016,Summer,Shooting,FALSE
0,31,177,75,Brazil,2016,Summer,Swimming,FALSE
1,24,168,58,Brazil,2016,Summer,Equestrianism,FALSE
1,24,168,58,Brazil,2016,Summer,Equestrianism,FALSE
0,22,176,78,Brazil,2016,Summer,Equestrianism,FALSE
0,22,176,78,Brazil,2016,Summer,Equestrianism,FALSE
1,28,170,98,Angola,2016,Summer,Handball,FALSE
0,35,191,102,Brazil,2016,Summer,Water Polo,FALSE
1,26,173,67,Philippines,2016,Summer,Taekwondo,FALSE
0,27,164,52,Russia,2016,Summer,Boxing,FALSE
0,29,186,90,Qatar,2016,Summer,Handball,FALSE
1,38,180,64,Sweden,2016,Summer,Swimming,FALSE
0,36,180,81,Argentina,2016,Summer,Sailing,FALSE
1,31,172,60,Norway,2016,Summer,Handball,TRUE
1,16,158,50,Germany,2016,Summer,Gymnastics,FALSE
1,16,158,50,Germany,2016,Summer,Gymnastics,FALSE
