id,PCOMP,APPEAR,PARENT,TEACH,MATE,FRIEND,MOTIV,GSW,PSW,AFFECT
1189,2.75,3,3.8,3.8,3.4,4,3.8,4,2.2,4
1190,2.75,3.5,3.6,3.8,4,4,3,3.75,2.8,1.67
1191,3.5,2.75,3.2,2.8,3.4,2.6,3.2,3.5,3.8,3
1192,3.25,4,2.8,3.2,3.4,3.4,2.8,4,3.4,4
1193,4,4,2.2,2.8,2.2,2.2,2.2,4,3.4,4
1194,2.5,3,2.4,2.8,3,3.4,2.6,3.25,2.8,3
1195,2.75,3,3.4,2.2,2,1.8,2.8,2.5,3,3
1196,4,3.25,3.8,3.6,3.2,3.8,3.8,4,4,4
1197,3.75,3,3.6,3.6,2.6,3.6,3.2,4,3.6,3.67
1198,2.5,3.25,3.4,3.8,2,3.2,2.2,3.25,2.8,1
1199,3.75,3.25,3.8,3.2,3.4,4,3.8,4,3.4,1
1200,3,3,4,4,3.8,4,3.8,3.25,2.8,3.67
1201,3.75,3.5,2.4,2.8,2.8,4,3.6,3.5,3.8,4
1202,2.75,2,3.4,2,2.6,2.8,3.2,3,2.2,2.33
1203,4,4,4,4,3.4,4,4,4,4,4
1204,2.25,2,2,3.2,2.4,3.2,2.8,3.5,2.4,3.33
1205,2.75,1.75,4,3.6,3.6,4,3,3.25,2,3
1206,2.25,2.5,2.8,2.8,3,2.2,2.2,2.25,2,2.67
1207,3,3.75,2.8,2.8,3.2,2.6,3.6,3.5,3,2
1208,2,1.5,3.6,3.6,3,3.4,2.8,2.5,1.6,1.33
1209,1.5,2.25,3.8,3.4,3,4,2.6,3.25,2.4,1.33
1210,3.5,2.75,3.8,3.2,3.4,3.6,3.4,3,3.2,3
1211,4,3.5,4,3.4,3.8,4,3.4,3.75,4,3.67
1212,1,1.5,3.8,3,2,3.2,1,3,1.6,1
1213,2.5,3,3.2,2.6,3.4,3.2,2.6,3.5,3,3.33
1214,4,4,3,3.4,3.4,3.4,3.2,4,4,4
1215,3,3.5,3.8,2.4,3,3.6,3.2,4,3.4,3
1216,3.25,4,4,3.4,4,4,3.6,4,4,4
1217,4,3.25,3.8,3.4,4,3.8,3.4,4,3.8,3.33
1218,2,2.75,4,3.2,3.6,4,2.6,3.75,2.6,1
1219,2.75,2.5,3.6,2,2.4,2,3,3.25,3.4,3.33
1220,3,3.25,3.4,3.2,3.4,2.8,3,3.25,3.6,3.67
1221,2.5,2.25,2.8,3,3,3,2.8,3,2.6,3
1222,1.75,1.25,2.8,3,3.2,4,2,2.75,1.6,2
1223,3.25,3.5,3.8,2.8,4,3,2.6,3.5,3.8,2.67
1224,2.75,2,3.8,3.8,3,3.2,3.2,3.25,2.8,4
1225,3,2.75,2.8,2.8,2.8,3,2.8,2.75,3.2,4
1226,2.25,2,4,3,3.2,4,3.6,2.75,2.2,3
1227,2,4,2,2.8,3.4,4,2.2,4,2.4,2
1228,3,2.25,2.6,3.4,3.6,4,3.4,3.75,3,3.67
1229,3,3.75,3.2,3.2,3.6,4,2.6,4,3,1
1230,2.75,1.75,2.4,3,3,4,3.2,3.25,2.8,3.33
1231,2,2,3.4,3.2,2.8,4,2.8,3,1.8,2.33
1232,2.75,3.5,3,3,2.8,3.4,2.8,3.25,3.6,3.33
1233,2.75,3,3.8,2.8,3.2,2.8,3.4,3,3,3
1234,2,2.5,2.2,3.4,2.2,4,2.8,3.25,2,2
