 1044  1 15 2.50 2.00 2.50 1.80 2.40 2.20 2.20 2.40 2.20 2.33 2.20 1.00 1.00 1.00 1.00 1.00 1.00 1.20 2.20 2.00 1.20 1.00 2.60 2.60  .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .  
 1045  1 14 4.00 3.00 2.50 3.40 1.20 3.80 3.00 4.00 3.60 4.00 4.00  .    .    .    .    .    .    .    .    .    .    .    .    .   3.25 2.25 2.75 3.20 3.20 3.00 2.80 3.00 3.20 3.67 3.00 3.00 3.25 2.50 3.00 2.80 3.40 3.60 3.20 3.80 3.20 3.67 3.20 2.80 2.80
 1046  0 14 3.75 3.00 3.50 2.40 3.20 3.00 3.20 3.00 2.00 3.67 3.00 3.25 3.50 3.00 4.00 2.80 2.00 3.20 2.00 3.60 3.40 4.00 2.80 2.80 3.50 3.50 3.00 3.00 3.00 2.40 2.40 3.40 2.20 3.00 1.80 2.60 3.25 3.00 3.00 3.00 2.80 3.00 3.60 4.00 3.60 4.00 3.00 3.40 2.40
 1047  0 14 2.00 2.50 2.50 2.20 1.00 1.00 2.20 2.80 2.00 1.00 2.60 3.00 2.25 2.75 2.60 2.00 2.00 2.60 3.00 1.40 1.80 2.00 3.00 3.00 2.50 3.00 2.75 2.40 1.20 1.20 2.60 2.80 1.60 1.00 2.20 2.40  .    .    .    .    .    .    .    .    .    .    .    .    .  
 1048  1 14 3.00 2.75 4.00 3.00 3.40 2.60 3.80 4.00 2.40 2.67 3.20 2.75 2.00 3.75 2.40 4.00 4.00 3.80 4.00 3.00 3.20 3.33 3.60 3.60 3.00 3.00 4.00 3.00 4.00 4.00 3.80 4.00 4.00 4.00 3.80 3.60 3.25 2.50 3.50 2.80 4.00 4.00 4.00 4.00 3.60 3.67 3.80 4.00 3.20
 1049  0 14 1.75 1.25 2.50 1.20 4.00 1.60 3.20 2.40 2.60 2.00 2.20 2.00 1.25 3.00 1.40 3.40 3.00 2.80 2.20 2.20 3.60 3.00 2.80 2.80 2.00 1.25 2.75 2.00 4.00 3.80 2.60 2.80 2.60 3.33 3.20 2.80 2.00 1.25 3.25 1.80 4.00 3.80 2.80 3.00 2.80 3.00 3.40 3.20 2.60
 1050  0 14 2.50 3.50 3.00 3.00 3.60 3.00 3.20 3.00 2.40 2.67 2.40 3.00 3.00 3.25 3.00 3.00 3.00 3.20 3.00 2.40 2.80 3.00 3.00 3.00  .    .    .    .    .    .    .    .    .    .    .    .   2.75 3.50 3.00 3.20 3.60 3.20 3.00 3.00 3.20 3.00 3.20 2.80 3.00
 1051  0 15 4.00 3.25 2.75 3.20 2.80 3.00 2.20 2.80 3.80 4.00 3.60 4.00 3.50 3.50 4.00 3.80 3.00 2.00 3.00 3.80 3.60 4.00 4.00 4.00 4.00 3.00 3.50 4.00 3.00 3.00 2.60 3.00 4.00 4.00 3.00 4.00 3.75 3.25 3.50 3.60 3.20 3.20 3.00 2.80 4.00 4.00 3.80 4.00 3.00
 1052  1 14 2.25 4.00 4.00 4.00 3.60 4.00 3.60 4.00 3.00 1.00 3.60 2.50 4.00 4.00 4.00 4.00 4.00 3.80 4.00 3.00 3.60 2.33 4.00 4.00 2.75 4.00 4.00 4.00 4.00 4.00 4.00 4.00 2.60 2.33 3.40 4.00 3.25 3.00 3.50 3.00 4.00 4.00 4.00 4.00 2.60 2.67 3.00 3.80 3.60
 1053  0 14 2.25 4.00 3.50 3.20 3.80 3.20 3.20 3.20 2.40 2.00 2.60 2.25 4.00 4.00 3.60 4.00 2.80 3.00 3.00 2.60 2.00 2.00 2.40 2.40 3.00 4.00 4.00 4.00 4.00 3.20 3.00 3.80 2.80 2.00 2.80 2.60 3.00 3.75 3.75 3.40 3.20 3.00 3.00 3.00 2.80 2.67 2.80 3.00 2.60
